,cubeid,cubeidpub,cubename,catid,pa_stelkin,pa_stelkin_err,sigma_re,sigma_re_err,sigma_3kpc_round,sigma_3kpc_round_err,sigma_1_4_arcsecond,sigma_1_4_arcsecond_err,sigma_2_arcsecond,sigma_2_arcsecond_err,sigma_3_arcsecond,sigma_3_arcsecond_err,sigma_4_arcsecond,sigma_4_arcsecond_err,aper_corr_flag,rmax_aper_corr,lambdar_re,lambdar_re_err,lambdar_max,lambdar_max_err,vsigma_re,vsigma_re_err,vsigma_max,vsigma_max_err,mean_k51_re,mean_k51_re_err,sigma_re_mge,sigma_re_mge_err,aper_corr_flag_mge,rmax_aper_corr_mge,lambdar_re_mge,lambdar_re_mge_err,lambdar_max_mge,lambdar_max_mge_err,vsigma_re_mge,vsigma_re_mge_err,vsigma_max_mge,vsigma_max_mge_err,mean_k51_re_mge,mean_k51_re_mge_err
13,8391_blue_red_7_Y14SAR4_P001_12T063_2014_05_23-2014_06_01,8391_A,8391_blue_7_Y14SAR4_P001_12T063_2014_05_23-2014_06_01.fits,8391,88.0,29.916666,45.803898,2.786231,48.895615,3.395888,49.90774,3.2628791,47.723732,3.2099898,44.65343,2.8671994,43.27525,2.8294804,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,46.798386,2.6749973,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14,8404_blue_red_7_Y14SAR4_P001_12T063_2014_05_23-2014_06_01,8404_A,8404_blue_7_Y14SAR4_P001_12T063_2014_05_23-2014_06_01.fits,8404,138.5,29.916666,nan,nan,nan,nan,37.701527,8.79818,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
15,8485_blue_red_7_Y15SAR3_P001_12T084_2015_04_14-2015_04_22,8485_A,8485_blue_7_Y15SAR3_P001_12T084_2015_04_14-2015_04_22.fits,8485,28.0,7.916664,57.250496,3.1702218,52.028862,4.29259,nan,nan,36.31138,6.3132806,46.750813,4.6678987,47.010082,4.52797,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,49.648724,4.19127,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
16,8487_blue_red_7_Y15SAR3_P001_12T084_2015_04_14-2015_04_22,8487_A,8487_blue_7_Y15SAR3_P001_12T084_2015_04_14-2015_04_22.fits,8487,91.0,1.75,nan,nan,215.08795,1.6302493,225.0425,1.7940043,215.35962,1.8971969,220.88782,1.7866385,218.99843,1.7060852,1.0,0.93717915,0.14430901,0.0047166394,0.13785085,0.0047166394,0.16706993,0.0034988455,0.16027462,0.0034988455,nan,nan,nan,nan,1.0,0.86234754,0.15534858,0.0046811295,0.13996112,0.0046811295,0.17720753,0.0035446677,0.16118287,0.0035446677,nan,nan
17,8488_blue_red_7_Y15SAR3_P006_12T097_2017_04_19-2017_05_01,8488_A,8488_blue_7_Y15SAR3_P006_12T097_2017_04_19-2017_05_01.fits,8488,76.5,29.83333,74.450806,1.0931453,74.87751,1.2785623,75.9822,1.2740746,75.75952,1.2072397,73.94739,0.9400875,74.31857,0.9682899,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,74.450806,0.8895921,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18,8490_blue_red_7_Y14SAR1_P005_12T045_2015_02_16-2015_02_25,8490_A,8490_blue_7_Y14SAR1_P005_12T045_2015_02_16-2015_02_25.fits,8490,262.5,29.916666,37.460342,8.280126,51.163467,6.8988376,nan,nan,44.653404,9.320196,nan,nan,37.519608,8.592331,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,46.803246,5.9424224,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
19,8562_blue_red_7_Y14SAR1_P005_12T045_2015_02_16-2015_02_25,8562_A,8562_blue_7_Y14SAR1_P005_12T045_2015_02_16-2015_02_25.fits,8562,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,8570_blue_red_7_Y15SAR3_P001_12T084_2015_04_14-2015_04_22,8570_A,8570_blue_7_Y15SAR3_P001_12T084_2015_04_14-2015_04_22.fits,8570,30.5,29.33333,61.472374,6.88494,60.80895,6.602768,nan,nan,nan,nan,53.99392,8.259665,59.83239,7.5657415,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21,8703_blue_red_6_Y16SAR4_P002_12T100_2017_04_19-2017_05_01,8703_A,8703_blue_6_Y16SAR4_P002_12T100_2017_04_19-2017_05_01.fits,8703,314.0,0.5,nan,nan,123.092255,0.8114544,117.57236,1.8187026,122.23639,1.452439,120.297905,1.0245812,120.909904,0.9231805,1.0,0.8937142,0.62371546,0.0033705602,0.5927227,0.0033705602,0.84858465,0.006028725,0.7897003,0.006028725,0.014560672,0.0022649495,nan,nan,1.0,0.89803594,0.6199005,0.0033843191,0.5902118,0.0033843191,0.8402153,0.005982192,0.78432953,0.005982192,0.014560672,0.0022649495
22,8706_blue_red_6_Y16SAR4_P002_12T100_2017_04_19-2017_05_01,8706_A,8706_blue_6_Y16SAR4_P002_12T100_2017_04_19-2017_05_01.fits,8706,252.0,1.9166666,nan,nan,84.14371,1.2620416,84.42541,2.893166,86.18004,2.0346932,87.64273,1.6279703,87.91457,1.491486,1.0,0.18207362,0.73728627,0.009449487,0.30489472,0.009449487,1.0011752,0.009723431,0.33656442,0.009723431,nan,nan,nan,nan,1.0,0.63939,0.37621692,0.009843127,0.28229097,0.009843127,0.4228804,0.010038769,0.31761992,0.010038769,nan,nan
23,8865_blue_red_6_Y16SAR4_P002_12T100_2017_04_19-2017_05_01,8865_A,8865_blue_6_Y16SAR4_P002_12T100_2017_04_19-2017_05_01.fits,8865,27.5,29.75,214.67976,2.8171825,219.0812,3.2735994,224.5206,4.490466,217.83223,3.4015484,220.67503,2.8595033,214.40337,2.6707373,0.0,1.0,0.03996329,0.009923504,nan,nan,0.044664282,0.00909983,nan,nan,0.93219995,0.65482867,220.67503,2.7528417,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24,8913_blue_red_6_Y16SAR4_P002_12T100_2017_04_19-2017_05_01,8913_A,8913_blue_6_Y16SAR4_P002_12T100_2017_04_19-2017_05_01.fits,8913,266.0,29.916666,40.725315,6.3395805,41.773724,7.3521166,63.697006,11.204946,43.54794,8.328554,nan,nan,35.606842,6.562324,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.12285,8.226043,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,9032_blue_red_6_Y15SAR3_P005_12T092_2015_04_14-2015_04_22,9032_A,9032_blue_6_Y15SAR3_P005_12T092_2015_04_14-2015_04_22.fits,9032,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
26,9062_blue_red_6_Y15SAR3_P005_12T092_2015_04_14-2015_04_22,9062_A,9062_blue_6_Y15SAR3_P005_12T092_2015_04_14-2015_04_22.fits,9062,345.5,1.1666666,134.576,1.008032,131.01753,0.881577,132.24287,1.399667,131.79372,1.1729764,131.7991,0.9403881,131.22804,0.93940026,0.0,1.0,0.18260397,0.006073213,nan,nan,0.21377836,0.005911522,nan,nan,0.030021513,0.017608259,132.36812,0.84029007,0.0,1.0,0.14099313,0.0055092596,nan,nan,0.14771673,0.00508008,nan,nan,0.030021513,0.017608259
27,9067_blue_red_6_Y15SAR3_P005_12T092_2015_04_14-2015_04_22,9067_A,9067_blue_6_Y15SAR3_P005_12T092_2015_04_14-2015_04_22.fits,9067,163.0,14.999999,85.01414,7.160212,82.43796,6.838829,nan,nan,74.90542,8.919783,91.853165,7.6044254,85.90512,6.9771175,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,87.11606,6.961434,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
28,9112_blue_red_6_Y15SAR3_P005_12T092_2015_04_14-2015_04_22,9112_A,9112_blue_6_Y15SAR3_P005_12T092_2015_04_14-2015_04_22.fits,9112,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
29,9115_blue_red_6_Y15SAR3_P005_12T092_2015_04_14-2015_04_22,9115_A,9115_blue_6_Y15SAR3_P005_12T092_2015_04_14-2015_04_22.fits,9115,252.5,29.916666,56.7912,6.298083,49.387634,5.881614,63.91594,9.052621,54.574875,7.473705,48.39798,5.786631,48.58548,6.0287867,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,50.065075,5.781859,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30,9163_blue_red_6_Y15SAR3_P005_12T092_2015_04_14-2015_04_22,9163_A,9163_blue_6_Y15SAR3_P005_12T092_2015_04_14-2015_04_22.fits,9163,263.0,5.5,nan,nan,42.93711,3.5046816,nan,nan,nan,nan,nan,nan,36.07664,4.2972937,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
31,9352_blue_red_8_Y14SAR3_P005_12T056_2015_01_19-2015_01_26,9352_A,9352_blue_8_Y14SAR3_P005_12T056_2015_01_19-2015_01_26.fits,9352,258.5,29.916666,61.734783,3.2944233,61.45804,3.4196026,54.002213,5.515745,65.792656,3.5661554,61.404217,3.4472713,59.943447,3.422715,0.0,1.0,0.13991036,0.038267203,nan,nan,0.1629671,0.034487132,nan,nan,0.8165605,0.5026332,66.05631,3.3296983,0.0,1.0,0.1321842,0.03645996,nan,nan,0.14595631,0.031636108,nan,nan,0.8165605,0.5026332
32,14552_blue_red_7_Y14SAR4_P008_15T094_2016_04_04-2016_04_12,14552_A,14552_blue_7_Y14SAR4_P008_15T094_2016_04_04-2016_04_12.fits,14552,181.5,1.3333315,178.1168,1.2021414,176.38171,1.8892391,173.7848,2.2880485,176.38171,1.8142122,177.32614,1.5631021,175.23514,1.3979793,0.0,1.0,0.31397676,0.0066388403,nan,nan,0.34870714,0.007078961,nan,nan,0.03437183,0.013881165,179.10672,1.5086726,0.0,1.0,0.23600453,0.0072778636,nan,nan,0.26263896,0.007397976,nan,nan,0.03437183,0.013881165
33,14555_blue_red_7_Y14SAR4_P008_15T094_2016_04_04-2016_04_12,14555_A,14555_blue_7_Y14SAR4_P008_15T094_2016_04_04-2016_04_12.fits,14555,319.5,11.5,42.54079,3.8155005,40.88272,3.679672,41.84832,5.4663496,nan,nan,38.050735,4.3755054,41.970383,4.060187,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,43.756847,3.1920798,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
34,14697_blue_red_7_Y17SAR3_P012_15T129_2018_05_07-2018_05_16,14697_A,14697_blue_7_Y17SAR3_P012_15T129_2018_05_07-2018_05_16.fits,14697,17.0,1.8333334,154.79999,2.0774527,151.90634,3.5914435,151.90634,3.819172,155.39758,3.265811,155.4542,2.3731542,153.59058,2.1479015,0.0,1.0,0.36139402,0.012222682,nan,nan,0.41459182,0.0138563,nan,nan,0.015775777,0.008598251,153.49796,2.3874683,0.0,1.0,0.39900193,0.011227378,nan,nan,0.4529233,0.013215294,nan,nan,0.015775777,0.008598251
35,14753_blue_red_7_Y17SAR3_P012_15T129_2018_05_07-2018_05_16,14753_A,14753_blue_7_Y17SAR3_P012_15T129_2018_05_07-2018_05_16.fits,14753,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
36,14812_blue_red_6_Y14SAR2_P007_15T067_2016_05_02-2016_05_10,14812_A,14812_blue_6_Y14SAR2_P007_15T067_2016_05_02-2016_05_10.fits,14812,293.0,2.1666667,70.63781,1.0463942,66.28432,1.046329,60.636364,1.6970372,60.828304,1.3296864,63.497936,1.2189968,65.36708,1.0867317,0.0,1.0,0.27468327,0.008910918,nan,nan,0.31350625,0.009716796,nan,nan,0.05479545,0.012306427,69.19216,1.0195088,0.0,1.0,0.27495843,0.008908574,nan,nan,0.3153983,0.009969815,nan,nan,0.05479545,0.012306427
37,15165_blue_red_6_Y14SAR4_P001_15T087_2014_05_23-2014_06_01,15165_A,15165_blue_6_Y14SAR4_P001_15T087_2014_05_23-2014_06_01.fits,15165,153.5,1.0833334,180.07,2.1366076,200.09235,2.099691,206.43332,2.550893,200.09235,2.1853163,195.86264,1.7701513,192.59335,1.4430128,0.0,1.0,0.45352075,0.007738761,nan,nan,0.48498487,0.007852599,nan,nan,0.039652277,0.008365774,184.93167,1.5909852,0.0,1.0,0.41174662,0.006851401,nan,nan,0.43226808,0.00720436,nan,nan,0.039652277,0.008365774
38,15165_blue_red_9_Y15SAR4_P001_15T110_2015_05_14-2015_05_20,15165_B,15165_blue_9_Y15SAR4_P001_15T110_2015_05_14-2015_05_20.fits,15165,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
39,15218_blue_red_7_Y14SAR2_P003_15T063_2014_04_02-2014_04_06,15218_A,15218_blue_7_Y14SAR2_P003_15T063_2014_04_02-2014_04_06.fits,15218,152.0,8.0,nan,nan,39.817066,4.8454046,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
40,15220_blue_red_6_Y14SAR4_P001_15T087_2014_05_23-2014_06_01,15220_A,15220_blue_6_Y14SAR4_P001_15T087_2014_05_23-2014_06_01.fits,15220,322.5,7.25,45.762318,7.4794497,53.14174,5.347349,nan,nan,47.61258,8.722598,45.826805,6.49255,54.18724,5.77472,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,47.77361,8.160353,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
41,15220_blue_red_9_Y15SAR4_P001_15T110_2015_05_14-2015_05_20,15220_B,15220_blue_9_Y15SAR4_P001_15T110_2015_05_14-2015_05_20.fits,15220,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
42,15481_blue_red_8_Y15SAR3_P002_15T108_2015_04_14-2015_04_22,15481_A,15481_blue_8_Y15SAR3_P002_15T108_2015_04_14-2015_04_22.fits,15481,199.0,8.75,225.85182,2.2824519,234.58095,2.1200986,234.70273,2.768599,235.33844,2.2727504,236.06201,1.909052,236.44466,1.856539,0.0,1.0,0.071238264,0.0052873613,nan,nan,0.07618185,0.004937271,nan,nan,0.28448382,0.09054263,230.60489,1.933106,0.0,1.0,0.059199754,0.0050658016,nan,nan,0.063882664,0.004802493,nan,nan,0.28448382,0.09054263
43,15847_blue_red_7_Y17SAR3_P010_15T133_2018_05_07-2018_05_16,15847_A,15847_blue_7_Y17SAR3_P010_15T133_2018_05_07-2018_05_16.fits,15847,163.0,9.333331,48.016155,5.3399405,47.06536,5.7592955,51.498516,8.235726,41.012104,6.7918596,49.82113,5.2320004,46.4097,4.9032383,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,44.158386,5.1831784,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
44,15898_blue_red_7_Y17SAR3_P010_15T133_2018_05_07-2018_05_16,15898_A,15898_blue_7_Y17SAR3_P010_15T133_2018_05_07-2018_05_16.fits,15898,143.0,0.6666667,nan,nan,130.87744,1.9111457,137.90869,3.2468736,132.84163,2.1354017,131.62096,1.7058055,130.53873,1.5435648,1.0,0.7612523,0.73029965,0.005822839,0.65995705,0.005822839,1.1451142,0.012799953,0.9616723,0.012799953,nan,nan,nan,nan,1.0,0.7434685,0.7520732,0.005617369,0.6777685,0.005617369,1.196289,0.013236405,0.98956454,0.013236405,nan,nan
45,16022_blue_red_7_Y17SAR3_P010_15T133_2018_05_07-2018_05_16,16022_A,16022_blue_7_Y17SAR3_P010_15T133_2018_05_07-2018_05_16.fits,16022,12.0,10.666667,119.587006,1.1548386,124.32371,1.5220935,133.07854,2.1905196,127.69785,1.662781,123.56887,1.4341872,119.912834,1.3744438,0.0,1.0,0.05999869,0.0096680345,nan,nan,0.06887668,0.009020786,nan,nan,0.14536962,0.08904132,123.56887,1.4382963,0.0,1.0,0.036537927,0.010391449,nan,nan,0.044318806,0.009610249,nan,nan,0.14536962,0.08904132
46,16026_blue_red_7_Y13SAR1_P006_15T011_2013_03_05-2013_03_17,16026_A,16026_blue_7_Y13SAR1_P006_15T011_2013_03_05-2013_03_17.fits,16026,165.0,2.5,125.67078,2.5834565,120.4218,2.7786546,116.49031,3.8592825,118.87292,3.2365434,122.02984,2.504201,123.22022,2.5166597,0.0,1.0,0.350902,0.020572605,nan,nan,0.41167733,0.025136732,nan,nan,0.026012195,0.01649081,121.18655,2.894576,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
47,16242_blue_red_11_Y17SAR3_P012_12T136_2018_05_07-2018_05_16,16242_A,16242_blue_11_Y17SAR3_P012_12T136_2018_05_07-2018_05_16.fits,16242,201.5,0.6666667,103.76884,1.3622514,102.40687,1.1264051,107.77469,2.3195682,106.92113,1.8182209,103.87789,1.1672131,102.44888,1.1278576,1.0,1.0027782,0.51540637,0.006490509,0.5161626,0.006490509,0.6024662,0.008762983,0.6035369,0.008762983,0.04091044,0.0072422656,100.81813,1.1800693,0.0,1.0,0.43598372,0.0067390017,nan,nan,0.49154893,0.008196578,nan,nan,0.04091044,0.0072422656
48,16294_blue_red_7_Y13SAR1_P006_15T011_2013_03_05-2013_03_17,16294_A,16294_blue_7_Y13SAR1_P006_15T011_2013_03_05-2013_03_17.fits,16294,162.5,29.83333,nan,nan,48.041584,7.305785,nan,nan,42.202003,10.379827,38.68134,8.269723,49.532066,7.22529,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,46.62114,6.897646,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
49,16310_blue_red_7_Y14SAR2_P006_15T066_2017_03_24-2017_04_02,16310_A,16310_blue_7_Y14SAR2_P006_15T066_2017_03_24-2017_04_02.fits,16310,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
50,16317_blue_red_11_Y17SAR3_P012_12T136_2018_05_07-2018_05_16,16317_A,16317_blue_11_Y17SAR3_P012_12T136_2018_05_07-2018_05_16.fits,16317,127.5,0.8333333,118.45002,0.72346735,120.052574,0.8448994,120.903,1.6275471,120.82259,0.97461426,121.30704,0.84609747,120.754,0.723436,0.0,1.0,0.35506725,0.004348237,nan,nan,0.39396772,0.004882771,nan,nan,0.035183795,0.0057938034,119.43019,0.75149685,0.0,1.0,0.32028598,0.004367435,nan,nan,0.35386926,0.004676631,nan,nan,0.035183795,0.0057938034
